"Metabolite.name","nmol.Enviro.med","nmol.Enviro.min","nmol.Enviro.max","nmol.C.med","nmol.C.min","nmol.C.max","mol.C.Fraction.med","mol.C.Fraction.min","mol.C.Fraction.max"
"Inosine",0.00656189555700831,0.000213254725704,0.104137706169702,0.0656189555700831,0.00213254725704,1.04137706169702,0.0000576186997757559,0.00000423144118189063,0.00106078926189865
"Imidazoleacrylic Acid",0.00167159126283509,0.000502427602060477,0.0334251296851164,0.0100295475770105,0.00301456561236286,0.200550778110698,0.00000983362401882887,0.000004050122325891,0.000197908785103124
"Hypoxanthine",2.80220308904159,0.553966731659184,18.6447645107283,14.011015445208,2.76983365829592,93.2238225536417,0.0175161579162836,0.00175261243902234,0.0916996584936908
"Hypotaurine",0.0123695072620145,0.000336655196122563,0.142997322849969,0.0247390145240289,0.000673310392245126,0.285994645699937,0.0000222272577545599,0.000000491532395663551,0.000218802928959815
"Hydroxylysine",0.000834472560813212,0.000112576677118194,0.0209968401664594,0.00500683536487927,0.000675460062709162,0.125981040998756,0.00000505932107813553,0.0000004882226224836,0.0000708241692183297
"Hydroxyectoine",0.000206169145190678,0.0000461842361359711,0.00102738924143357,0.00123701487114407,0.000277105416815827,0.00616433544860141,0.00000127545023678326,0.000000282270909725205,0.0000121218551937382
"Hordenine",0.0000620274047312617,0.0000307346809490964,0.00023110405994861,0.000620274047312617,0.000307346809490964,0.0023110405994861,0.000000599242001617435,0.000000120115946004635,0.00000399420966575392
"Homarine",0.753723627373022,0.0755764618878247,5.83050265200409,5.27606539161116,0.529035233214773,40.8135185640286,0.00453495604886633,0.00159429170273018,0.0378557883214937
"Histidine",0.0536880659311937,0.0205600625966537,0.119063617902776,0.322128395587162,0.123360375579922,0.714381707416655,0.00032922620871939,0.0000834782771430473,0.000893930651367325
"Guanosine",0.0022974603747855,0.000150253175133048,0.0130027034959623,0.022974603747855,0.00150253175133048,0.130027034959623,0.0000194074024992263,0.00000369061299988836,0.000109193216919697
"Guanine",0.139868076076408,0.0138880700100947,1.32784356180778,0.699340380382038,0.0694403500504735,6.63921780903889,0.000661306984960917,0.0000560648265489325,0.00598633102851884
"Gonyol",0.455198233750446,0.0191824739975378,2.58136888363815,3.18638763625312,0.134277317982765,18.069582185467,0.00265615890165547,0.00042183522311751,0.0191728108447959
"GMP",0.0131307655084458,0.00368765884275704,0.0476720642231452,0.131307655084458,0.0368765884275704,0.476720642231452,0.0000912958938096228,0.0000349414377249693,0.000378413090134675
"Glycine",0.288569455163598,0.0302378611230361,1.35053442138177,0.577138910327197,0.0604757222460723,2.70106884276354,0.000503485732914639,0.00015648590596599,0.00412634950177151
